country,year,countryyear,iso3c,iso3n,cowcode,hrmicode,disap_mean,disap_sd,disap_lo,disap_hi,exkill_mean,exkill_sd,exkill_lo,exkill_hi,arrest_mean,arrest_sd,arrest_lo,arrest_hi,tort_mean,tort_sd,tort_lo,tort_hi,dpex_mean,dpex_sd,dpex_lo,dpex_hi,express_mean,express_sd,express_lo,express_hi,polpart_mean,polpart_sd,polpart_lo,polpart_hi,assem_mean,assem_sd,assem_lo,assem_hi,rel_mean,rel_sd,rel_lo,rel_hi,physint_mean,physint_sd,physint_lo,physint_hi,empower_mean,empower_sd,empower_lo,empower_hi
PNG,2018,PNG2018,PNG,598,910,39,6.2437549,1.0258758,4.930634,7.5568757,5.8549738,.51513946,5.1955953,6.5143523,5.9334979,.67306745,5.0719714,6.7950244,4.285368,.58486366,3.5367424,5.0339932,10,0,10,10,6.5396066,.4955582,5.905292,7.1739211,6.4288054,.62444919,5.6295104,7.2281003,7.0961285,.52730656,6.421176,7.771081,,,,,5.3157325,.83125019,4.2517323,6.3797326,6.7432375,.69511491,5.8534904,7.6329846
PNG,2019,PNG2019,PNG,598,910,39,6.3049002,.59692341,5.5408382,7.0689621,6.1819215,.45963916,5.5935836,6.7702594,5.5377336,.61179352,4.7546377,6.3208294,4.5886092,.343638,4.1487527,5.0284657,10,0,10,10,6.4310551,.39934939,5.919888,6.9422221,6.9515204,.43820763,6.3906145,7.5124264,7.7255573,.36540619,7.2578373,8.1932774,,,,,5.6948667,.76958841,4.7097936,6.6799397,7.0660119,.69327581,6.1786189,7.9534049
PNG,2020,PNG2020,PNG,598,910,39,7.0058475,.60563958,6.230629,7.7810659,6.8042245,.61776179,6.0134892,7.5949597,5.4160633,.83281326,4.3500624,6.4820642,3.8919055,.42696616,3.3453889,4.4384222,10,0,10,10,6.3212166,.44196802,5.7554975,6.8869357,7.1931381,.41435117,6.6627688,7.7235074,7.1722898,.45441437,6.5906396,7.7539401,,,,,6.1240616,.83164495,5.059556,7.1885672,6.8346634,.71714735,5.9167147,7.7526121
PNG,2021,PNG2021,PNG,598,910,39,7.4407487,.66807151,6.5856171,8.2958803,5.6265364,.81986529,4.5771089,6.6759639,6.3696222,.74925208,5.4105797,7.3286648,4.0088272,.60784012,3.2307918,4.7868624,10,0,10,10,5.9494643,.6386748,5.1319604,6.7669683,6.6704769,.57420647,5.9354925,7.4054613,6.7376099,.43723789,6.1779451,7.2972746,,,,,6.0167217,.75247341,5.053556,6.9798875,6.466176,.72638613,5.5364017,7.3959503
PNG,2022,PNG2022,PNG,598,910,39,7.2469745,.76484853,6.2679682,8.2259808,5.8144584,.82827097,4.7542715,6.8746452,6.060554,.95803678,4.8342671,7.2868409,4.5773931,.79555446,3.5590835,5.5957026,10,0,10,10,6.6844821,1.279943,5.046155,8.3228092,6.7400923,1.4737198,4.8537307,8.6264534,5.3076997,1.1984802,3.7736449,6.8417544,,,,,5.907661,.85596383,4.8120275,7.0032945,5.8694887,1.0244131,4.5582399,7.1807375
Hong Kong,2019,HKG2019,HKG,344,,40,7.6611662,.55092257,6.9559851,8.3663473,8.5708389,.42671037,8.0246496,9.1170282,2.6280262,.82268041,1.5749953,3.6810572,4.4608917,.53841972,3.7717144,5.1500688,10,0,10,10,4.5746856,.31774995,4.1679654,4.9814057,3.9971166,.29554668,3.6188169,4.3754163,4.4453888,.30063024,4.0605822,4.8301954,,,,,6.8237238,.77831829,5.8274765,7.8199711,4.2941155,.68611938,3.4158828,5.1723485
Hong Kong,2020,HKG2020,HKG,344,,40,7.3028531,.32751814,6.8836298,7.7220764,8.1130514,.26133892,7.7785378,8.4475651,3.2092533,.28012934,2.8506877,3.5678189,5.1176229,.28918663,4.7474642,5.4877815,10,0,10,10,3.2898879,.22204761,3.005667,3.5741088,2.9388342,.20597148,2.6751907,3.2024777,3.1156917,.1907462,2.8715365,3.3598468,,,,,6.6760545,.72010112,5.7543249,7.597784,3.0527816,.6619063,2.2055416,3.9000216
Hong Kong,2021,HKG2021,HKG,344,,40,7.2823696,.28326255,6.9197936,7.6449456,8.1425314,.2228696,7.8572583,8.4278049,3.7485671,.27084079,3.401891,4.0952435,5.7709184,.27758551,5.4156089,6.1262279,10,0,10,10,2.9379804,.18601987,2.6998749,3.1760859,2.6823735,.20008278,2.4262676,2.9384794,2.5439734,.19092356,2.2995913,2.7883556,7.8338308,.51624298,7.1730399,8.4946222,6.7705646,.72340977,5.8446002,7.6965289,2.8911538,.65867448,2.0480504,3.7342572
Hong Kong,2022,HKG2022,HKG,344,,40,7.429925,.32774684,7.0104089,7.8494411,8.1480627,.31331664,7.7470174,8.5491076,4.7987099,.45551246,4.2156539,5.3817658,6.4494591,.34737325,6.0048213,6.8940969,10,0,10,10,3.0705075,.26784739,2.7276628,3.4133523,2.9484732,.31874472,2.5404799,3.3564665,2.7455635,.30280879,2.3579683,3.1331587,7.9637246,.52101219,7.2968292,8.63062,7.2232552,.73774493,6.2789416,8.1675682,3.174839,.67405528,2.3120482,4.0376296
Malaysia,2019,MYS2019,MYS,458,820,41,7.6112418,.42920566,7.0618587,8.1606255,6.6880527,.36501974,6.2208276,7.1552777,5.6917872,.50975287,5.0393038,6.3442707,4.5829973,.36710238,4.1131063,5.0528884,10,0,10,10,5.4190683,.4954851,4.7848473,6.0532894,6.6399198,.44755459,6.06705,7.2127895,6.3035874,.46621555,5.7068315,6.9003434,,,,,6.4125738,.75114727,5.4511051,7.3740425,5.9983692,.71249425,5.0863767,6.9103618
